d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
36000,Guanajuato Centro,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,0001,Urbano,05,
36003,Alameda,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,4455,Urbano,05,
36008,Presidencia Municipal,Gran usuario,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,22,015,0004,Urbano,05,
36009,Oficina Federal de Hacienda,Gran usuario,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,22,015,0005,Urbano,05,
36010,Cata,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,0006,Urbano,05,
36010,Mellado,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,0007,Urbano,05,
36010,Garrapata,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,7158,Urbano,05,
36013,Cerro de San Antonio,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,7137,Urbano,05,
36013,La Gualdra,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,7165,Urbano,05,
36013,San Luisito,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,7189,Urbano,05,
36014,Ex-Hacienda de Dur�n,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,7155,Urbano,05,
36014,Ex-Hacienda de Luna,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,7156,Urbano,05,
36014,Nuevo,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,7178,Urbano,05,
36015,Las Huertas,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,0016,Urbano,05,
36015,Las Palmas,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,4429,Urbano,05,
36015,Cerro del Cuarto,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,5168,Urbano,05,
36015,La Calzada,Colonia,Guanajuato,Guanajuato,Guanajuato,36001,11,36001,09,015,7164,Urbano,05,
